SampleID,Az_true,El_true,AzSector,ElSector,Sector,MUSIC_Az,MUSIC_El,GCC_Angle,ILD_dB,RMS_mean,FFT_PeakFreq,SpecEntropyNorm
20,-86.2549946612738,10.4022355707068,Az_-90to-80,El_10to20,Az_-90to-80_El_10to20,-86,9,10.1591729313763,0.000591419416290785-8.52827337254133i,0.292487343329367-7.33536888122346e-05i,545.5078125,0.738875439589752
21,-82.1926997609487,24.8584237159677,Az_-90to-80,El_20to30,Az_-90to-80_El_20to30,-82,24,24.7489865280484,-0.0119782451392438-7.31957975694737i,0.301347877460218-4.60223513022717e-06i,505.3125,0.742382558786449
22,-85.0027256555071,25.2377896136539,Az_-90to-80,El_20to30,Az_-90to-80_El_20to30,-85,24,25.3888461455765,-0.00766577451070736-7.0935475323837i,0.306422045164274+2.2256916123127e-05i,717.7734375,0.74465401877543
23,-86.0073275626873,25.7123932571601,Az_-90to-80,El_20to30,Az_-90to-80_El_20to30,-85,27,25.7047467545359,0.00801742595068746-5.97687715983971i,0.316541009566856+9.98721781860189e-05i,1154.1796875,0.740978151403449
24,-88.0721507140683,21.7124784639085,Az_-90to-80,El_20to30,Az_-90to-80_El_20to30,-88,23,21.6881236394697,-0.00781512906237878-7.18871649493432i,0.300952309603709+0.000110599828605354i,1383.8671875,0.740416918529057
25,-87.5111518065292,24.3433002932952,Az_-90to-80,El_20to30,Az_-90to-80_El_20to30,-87,20,24.1388054547961,0.0179900755899541-5.64092752696122i,0.315054910725974+0.000128471944079264i,835.48828125,0.741459560617501
26,-85.9530966567544,27.1594013379566,Az_-90to-80,El_20to30,Az_-90to-80_El_20to30,-85,27,27.172654728468,-0.0207832295689709-5.87355367533157i,0.304505115016818+3.42772695711077e-05i,401.953125,0.738939649108274
27,-81.0050247237717,23.1521893080463,Az_-90to-80,El_20to30,Az_-90to-80_El_20to30,-81,23,23.2334490810132,0.00203889975555576-7.27684666282164i,0.301784124641897-0.000338311431060175i,1283.37890625,0.739828132226364
28,-80.460578393265,24.5769376814045,Az_-90to-80,El_20to30,Az_-90to-80_El_20to30,-81,22,24.7049590860849,0.00951756477026827-5.55151336580884i,0.314739086046529-8.53703636542053e-06i,720.64453125,0.741851971278822
29,-86.3200131880081,29.0625734851731,Az_-90to-80,El_20to30,Az_-90to-80_El_20to30,-85,29,28.9253795359712,-0.00964069024874442-6.24479436069363i,0.30904187002039-0.000124471426771473i,2216.484375,0.742228663921091
30,-87.8729393958619,26.2169988516325,Az_-90to-80,El_20to30,Az_-90to-80_El_20to30,-88,26,26.2744275769603,-0.00184200474483374-7.86297191382288i,0.297229584328277+5.30582597774026e-05i,2635.6640625,0.740036383609218
31,-87.5026918427424,31.3823671126726,Az_-90to-80,El_30to40,Az_-90to-80_El_30to40,-88,32,31.0522386699162,-0.00788825739409062-7.14353342411144i,0.294281625184264-6.38384172182704e-05i,703.41796875,0.738365167842635
32,-83.0214534984989,38.8763287571486,Az_-90to-80,El_30to40,Az_-90to-80_El_30to40,-82,40,38.7756571032641,-0.00790273673628441-4.78747117607899i,0.31417053704862-8.94467962665527e-05i,2322.71484375,0.740648935576147
33,-85.3658829732249,38.4938594017473,Az_-90to-80,El_30to40,Az_-90to-80_El_30to40,-86,38,38.6639455732481,0.0338678605070851-5.1821248225518i,0.32427989252398-6.05478489002637e-05i,1171.40625,0.740202058712272
34,-80.7063766606104,36.4228407589584,Az_-90to-80,El_30to40,Az_-90to-80_El_30to40,-81,35,36.5489135444462,-0.00279408793501216-6.58493652739063i,0.310714069201243-6.76962098570613e-05i,1455.64453125,0.739213649384151
35,-86.8457665978815,36.7870361786849,Az_-90to-80,El_30to40,Az_-90to-80_El_30to40,-87,37,36.793555099526,-0.00403340291804514-4.81965221789374i,0.313528693307282-3.06153518588384e-06i,1513.06640625,0.74165547334278
36,-85.913112403781,33.7258274624557,Az_-90to-80,El_30to40,Az_-90to-80_El_30to40,-86,34,33.6641708005943,-0.00273119510667451-7.1793390590927i,0.313442440988992+0.00015417260515415i,1386.73828125,0.741670601880872
37,-87.1684746027677,35.9385797772743,Az_-90to-80,El_30to40,Az_-90to-80_El_30to40,-86,37,35.9860875135389,-0.00127242381969624-6.05608547058735i,0.310785343286543-9.85539524673285e-05i,390.46875,0.739553649977316
